task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
76	d7/790358	1638516	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4658_P0)	COMPLETED	0	2022-03-02 23:11:57.005	814ms	0ms	61.5%	2.9 MB	5.4 MB	74.5 KB	3.1 KB
77	36/9a7085	1638732	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (4645_P0)	COMPLETED	0	2022-03-02 23:11:57.826	862ms	0ms	57.1%	3 MB	5.4 MB	74.3 KB	3.1 KB
78	96/3bfb1e	1638946	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (4645_P0)	COMPLETED	0	2022-03-02 23:11:58.698	916ms	0ms	117.6%	3 MB	5.4 MB	87.6 KB	3.5 KB
79	e0/bea534	1639167	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (4645_P0)	COMPLETED	0	2022-03-02 23:11:59.638	804ms	0ms	125.0%	2.9 MB	5.4 MB	87.8 KB	2.9 KB
73	c5/430964	1639387	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (4658_P0)	COMPLETED	0	2022-03-02 23:12:00.447	4.7s	4s	115.7%	117.1 MB	15.4 GB	19.4 MB	288.5 KB
81	75/9ccbb5	1639898	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (4581_P0)	COMPLETED	0	2022-03-02 23:12:05.170	896ms	0ms	109.1%	2.9 MB	5.4 MB	87.7 KB	4.2 KB
80	3f/3ee6ee	1640132	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (4645_P0)	COMPLETED	0	2022-03-02 23:12:06.071	4.8s	4s	113.4%	121.9 MB	15.4 GB	19.4 MB	249.2 KB
82	49/c8e24a	1640635	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (4581_P0)	COMPLETED	0	2022-03-02 23:12:10.908	991ms	0ms	61.5%	2.9 MB	5.4 MB	74.2 KB	3.1 KB
83	a9/6375a5	1640865	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (4581_P0)	COMPLETED	0	2022-03-02 23:12:11.914	20.5s	20s	88.0%	13.3 MB	26.1 MB	138 MB	121.8 MB
85	04/612530	1640866	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (4649_P0)	COMPLETED	0	2022-03-02 23:12:11.932	30.9s	30s	91.6%	16.6 MB	28.5 MB	195.8 MB	173.7 MB
90	fb/83acdc	1643612	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (4658_P0)	COMPLETED	0	2022-03-02 23:12:32.389	23s	22s	89.3%	17.9 MB	29.5 MB	153.5 MB	135.8 MB
94	d8/10684e	1644757	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (4645_P0)	COMPLETED	0	2022-03-02 23:12:42.883	29.6s	29s	89.5%	17.6 MB	29.3 MB	214.9 MB	190.5 MB
84	6a/af78c5	1646867	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (4649_P0)	COMPLETED	0	2022-03-02 23:13:12.511	926ms	0ms	88.9%	2.9 MB	5.4 MB	87.9 KB	4.2 KB
86	41/b9dafa	1647097	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (4649_P0)	COMPLETED	0	2022-03-02 23:13:13.443	739ms	0ms	80.0%	3 MB	5.4 MB	74.2 KB	3.1 KB
